run_id,model_name,vector_a,vector_a_type,vector_a_family,vector_b,vector_b_type,vector_b_family,cosine
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__autodan,jailbreak,autodan,jailbreak__autodan,jailbreak,autodan,1.000000238418579
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__autodan,jailbreak,autodan,jailbreak__base64,jailbreak,base64,0.22651390731334686
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__autodan,jailbreak,autodan,jailbreak__drattack,jailbreak,drattack,0.23427323997020721
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__autodan,jailbreak,autodan,jailbreak__gcg,jailbreak,gcg,0.27645349502563477
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__autodan,jailbreak,autodan,jailbreak__ijp,jailbreak,ijp,0.6294241547584534
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__autodan,jailbreak,autodan,jailbreak__pair,jailbreak,pair,0.6959742903709412
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__autodan,jailbreak,autodan,jailbreak__puzzler,jailbreak,puzzler,0.5561477541923523
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__autodan,jailbreak,autodan,jailbreak__saa,jailbreak,saa,0.3573688268661499
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__autodan,jailbreak,autodan,jailbreak__zulu,jailbreak,zulu,0.16753067076206207
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__autodan,jailbreak,autodan,toxic,toxic,toxic,-0.5711213946342468
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__base64,jailbreak,base64,jailbreak__base64,jailbreak,base64,1.0000001192092896
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__base64,jailbreak,base64,jailbreak__drattack,jailbreak,drattack,0.5009557008743286
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__base64,jailbreak,base64,jailbreak__gcg,jailbreak,gcg,0.4824144244194031
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__base64,jailbreak,base64,jailbreak__ijp,jailbreak,ijp,0.4277864098548889
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__base64,jailbreak,base64,jailbreak__pair,jailbreak,pair,0.2966963052749634
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__base64,jailbreak,base64,jailbreak__puzzler,jailbreak,puzzler,0.39822158217430115
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__base64,jailbreak,base64,jailbreak__saa,jailbreak,saa,0.45585042238235474
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__base64,jailbreak,base64,jailbreak__zulu,jailbreak,zulu,0.49872803688049316
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__base64,jailbreak,base64,toxic,toxic,toxic,-0.38395956158638
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__drattack,jailbreak,drattack,jailbreak__drattack,jailbreak,drattack,0.9999998807907104
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__drattack,jailbreak,drattack,jailbreak__gcg,jailbreak,gcg,0.46652841567993164
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__drattack,jailbreak,drattack,jailbreak__ijp,jailbreak,ijp,0.39562228322029114
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__drattack,jailbreak,drattack,jailbreak__pair,jailbreak,pair,0.2865724265575409
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__drattack,jailbreak,drattack,jailbreak__puzzler,jailbreak,puzzler,0.3662146031856537
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__drattack,jailbreak,drattack,jailbreak__saa,jailbreak,saa,0.559045672416687
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__drattack,jailbreak,drattack,jailbreak__zulu,jailbreak,zulu,0.41092830896377563
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__drattack,jailbreak,drattack,toxic,toxic,toxic,-0.3405908942222595
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__gcg,jailbreak,gcg,jailbreak__gcg,jailbreak,gcg,0.9999997615814209
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__gcg,jailbreak,gcg,jailbreak__ijp,jailbreak,ijp,0.3814682364463806
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__gcg,jailbreak,gcg,jailbreak__pair,jailbreak,pair,0.24667800962924957
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__gcg,jailbreak,gcg,jailbreak__puzzler,jailbreak,puzzler,0.34136658906936646
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__gcg,jailbreak,gcg,jailbreak__saa,jailbreak,saa,0.4133731722831726
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__gcg,jailbreak,gcg,jailbreak__zulu,jailbreak,zulu,0.5090909004211426
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__gcg,jailbreak,gcg,toxic,toxic,toxic,-0.3220887780189514
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__ijp,jailbreak,ijp,jailbreak__ijp,jailbreak,ijp,0.9999999403953552
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__ijp,jailbreak,ijp,jailbreak__pair,jailbreak,pair,0.8297696113586426
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__ijp,jailbreak,ijp,jailbreak__puzzler,jailbreak,puzzler,0.8181009888648987
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__ijp,jailbreak,ijp,jailbreak__saa,jailbreak,saa,0.5713849067687988
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__ijp,jailbreak,ijp,jailbreak__zulu,jailbreak,zulu,0.3909190893173218
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__ijp,jailbreak,ijp,toxic,toxic,toxic,-0.8489116430282593
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__pair,jailbreak,pair,jailbreak__pair,jailbreak,pair,1.0
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__pair,jailbreak,pair,jailbreak__puzzler,jailbreak,puzzler,0.7437355518341064
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__pair,jailbreak,pair,jailbreak__saa,jailbreak,saa,0.44726353883743286
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__pair,jailbreak,pair,jailbreak__zulu,jailbreak,zulu,0.2470439076423645
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__pair,jailbreak,pair,toxic,toxic,toxic,-0.8607046008110046
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__puzzler,jailbreak,puzzler,jailbreak__puzzler,jailbreak,puzzler,1.0
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__puzzler,jailbreak,puzzler,jailbreak__saa,jailbreak,saa,0.5300909280776978
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__puzzler,jailbreak,puzzler,jailbreak__zulu,jailbreak,zulu,0.36435216665267944
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__puzzler,jailbreak,puzzler,toxic,toxic,toxic,-0.8428173065185547
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__saa,jailbreak,saa,jailbreak__saa,jailbreak,saa,1.0
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__saa,jailbreak,saa,jailbreak__zulu,jailbreak,zulu,0.40193748474121094
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__saa,jailbreak,saa,toxic,toxic,toxic,-0.5265205502510071
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__zulu,jailbreak,zulu,jailbreak__zulu,jailbreak,zulu,0.9999998807907104
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jailbreak__zulu,jailbreak,zulu,toxic,toxic,toxic,-0.34505918622016907
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,toxic,toxic,toxic,toxic,toxic,toxic,1.0
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__autodan,jailbreak,autodan,jailbreak__autodan,jailbreak,autodan,1.0000001192092896
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__autodan,jailbreak,autodan,jailbreak__base64,jailbreak,base64,0.10728667676448822
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__autodan,jailbreak,autodan,jailbreak__drattack,jailbreak,drattack,0.055153846740722656
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__autodan,jailbreak,autodan,jailbreak__gcg,jailbreak,gcg,0.08156196027994156
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__autodan,jailbreak,autodan,jailbreak__ijp,jailbreak,ijp,0.0752561092376709
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__autodan,jailbreak,autodan,jailbreak__pair,jailbreak,pair,0.029086964204907417
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__autodan,jailbreak,autodan,jailbreak__puzzler,jailbreak,puzzler,0.0671304240822792
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__autodan,jailbreak,autodan,jailbreak__saa,jailbreak,saa,0.010218040086328983
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__autodan,jailbreak,autodan,jailbreak__zulu,jailbreak,zulu,0.09762705862522125
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__autodan,jailbreak,autodan,toxic,toxic,toxic,-0.059985145926475525
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__base64,jailbreak,base64,jailbreak__base64,jailbreak,base64,1.000000238418579
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__base64,jailbreak,base64,jailbreak__drattack,jailbreak,drattack,0.5830564498901367
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__base64,jailbreak,base64,jailbreak__gcg,jailbreak,gcg,0.3699210584163666
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__base64,jailbreak,base64,jailbreak__ijp,jailbreak,ijp,0.6732231378555298
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__base64,jailbreak,base64,jailbreak__pair,jailbreak,pair,0.5946649312973022
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__base64,jailbreak,base64,jailbreak__puzzler,jailbreak,puzzler,0.5093193054199219
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__base64,jailbreak,base64,jailbreak__saa,jailbreak,saa,0.613315999507904
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__base64,jailbreak,base64,jailbreak__zulu,jailbreak,zulu,0.40015724301338196
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__base64,jailbreak,base64,toxic,toxic,toxic,-0.5680843591690063
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__drattack,jailbreak,drattack,jailbreak__drattack,jailbreak,drattack,1.0000001192092896
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__drattack,jailbreak,drattack,jailbreak__gcg,jailbreak,gcg,0.3709808886051178
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__drattack,jailbreak,drattack,jailbreak__ijp,jailbreak,ijp,0.6935903429985046
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__drattack,jailbreak,drattack,jailbreak__pair,jailbreak,pair,0.724776566028595
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__drattack,jailbreak,drattack,jailbreak__puzzler,jailbreak,puzzler,0.5440949201583862
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__drattack,jailbreak,drattack,jailbreak__saa,jailbreak,saa,0.7344698309898376
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__drattack,jailbreak,drattack,jailbreak__zulu,jailbreak,zulu,0.27895423769950867
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__drattack,jailbreak,drattack,toxic,toxic,toxic,-0.5508453845977783
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__gcg,jailbreak,gcg,jailbreak__gcg,jailbreak,gcg,0.9999998807907104
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__gcg,jailbreak,gcg,jailbreak__ijp,jailbreak,ijp,0.46392279863357544
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__gcg,jailbreak,gcg,jailbreak__pair,jailbreak,pair,0.41218864917755127
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__gcg,jailbreak,gcg,jailbreak__puzzler,jailbreak,puzzler,0.2675056457519531
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__gcg,jailbreak,gcg,jailbreak__saa,jailbreak,saa,0.36114731431007385
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__gcg,jailbreak,gcg,jailbreak__zulu,jailbreak,zulu,0.4685620367527008
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__gcg,jailbreak,gcg,toxic,toxic,toxic,-0.2753039300441742
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__ijp,jailbreak,ijp,jailbreak__ijp,jailbreak,ijp,0.9999998807907104
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__ijp,jailbreak,ijp,jailbreak__pair,jailbreak,pair,0.818717360496521
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__ijp,jailbreak,ijp,jailbreak__puzzler,jailbreak,puzzler,0.6329957842826843
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__ijp,jailbreak,ijp,jailbreak__saa,jailbreak,saa,0.7691407203674316
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__ijp,jailbreak,ijp,jailbreak__zulu,jailbreak,zulu,0.40576162934303284
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__ijp,jailbreak,ijp,toxic,toxic,toxic,-0.6715511083602905
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__pair,jailbreak,pair,jailbreak__pair,jailbreak,pair,0.9999999403953552
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__pair,jailbreak,pair,jailbreak__puzzler,jailbreak,puzzler,0.5688139796257019
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__pair,jailbreak,pair,jailbreak__saa,jailbreak,saa,0.6871189475059509
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__pair,jailbreak,pair,jailbreak__zulu,jailbreak,zulu,0.30850791931152344
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__pair,jailbreak,pair,toxic,toxic,toxic,-0.6660860776901245
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jailbreak__puzzler,jailbreak,puzzler,jailbreak__puzzler,jailbreak,puzzler,0.9999999403953552
