summary_scope,model_name,attack_family,num_attack_families,toxic_layer_mean,jailbreak_layer_mean,toxic_depth_mean,jailbreak_depth_mean,jailbreak_depth_std,jailbreak_depth_min,jailbreak_depth_max,num_models
model,gemma-2-27b-it,__all__,9.0,30.0,37.333333333333336,0.6521739130434783,0.8115942028985507,0.15022038001179625,0.6521739130434783,0.9565217391304348,
model,gemma-2-9b-it,__all__,9.0,31.0,32.77777777777778,0.7380952380952381,0.7804232804232805,0.15188618419844951,0.40476190476190477,0.9285714285714286,
model,gemma-3-12b-it,__all__,9.0,48.0,48.0,1.0,1.0,0.0,1.0,1.0,
model,gemma-3-27b-it,__all__,9.0,62.0,62.0,1.0,1.0,0.0,1.0,1.0,
model,gemma-3-4b-it,__all__,9.0,34.0,34.0,1.0,1.0,0.0,1.0,1.0,
model,gemma-4-12b-it,__all__,9.0,47.0,47.0,0.9791666666666666,0.9791666666666666,0.0,0.9791666666666666,0.9791666666666666,
attack_family,__all__,autodan,,,,0.8949059696342306,0.8429736024844722,0.25025242612763476,0.40476190476190477,1.0,6.0
attack_family,__all__,base64,,,,0.8949059696342306,0.9575353692201518,0.07454675966228011,0.8095238095238095,1.0,6.0
attack_family,__all__,drattack,,,,0.8949059696342306,0.9575353692201518,0.07454675966228011,0.8095238095238095,1.0,6.0
attack_family,__all__,gcg,,,,0.8949059696342306,0.9734083850931677,0.037820623555093975,0.9047619047619048,1.0,6.0
attack_family,__all__,ijp,,,,0.8949059696342306,0.9068107315389925,0.145322231709948,0.6521739130434783,1.0,6.0
attack_family,__all__,pair,,,,0.8949059696342306,0.9068107315389925,0.145322231709948,0.6521739130434783,1.0,6.0
attack_family,__all__,puzzler,,,,0.8949059696342306,0.8949059696342306,0.15731661548770104,0.6521739130434783,1.0,6.0
attack_family,__all__,saa,,,,0.8949059696342306,0.9394194271911664,0.08700812825935916,0.8095238095238095,1.0,6.0
attack_family,__all__,zulu,,,,0.8949059696342306,0.9773766390614217,0.02951450152519307,0.9285714285714286,1.0,6.0
