run_id,model_name,artifact_path,size_bytes,size_mb
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,behavior_labels.parquet,52948,0.05
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,calibration_artifacts/concept_stats.parquet,5865,0.006
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,calibration_artifacts/concept_vectors.safetensors,205600,0.196
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,calibration_artifacts/thresholds.parquet,4276,0.004
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,generation_outputs.parquet,51861,0.049
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,hidden_last.safetensors,3713024096,3541.016
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,hidden_spans.safetensors,3713024096,3541.016
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jbshield_scores.parquet,195544,0.186
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,model_metadata.parquet,11241,0.011
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,prompts.parquet,2469323,2.355
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,token_spans.parquet,146653,0.14
jbshield-qwen-phase2-qwen2.5-14b-instruct,qwen2.5-14b-instruct,behavior_labels.parquet,53287,0.051
jbshield-qwen-phase2-qwen2.5-14b-instruct,qwen2.5-14b-instruct,calibration_artifacts/concept_stats.parquet,5928,0.006
jbshield-qwen-phase2-qwen2.5-14b-instruct,qwen2.5-14b-instruct,calibration_artifacts/concept_vectors.safetensors,205600,0.196
jbshield-qwen-phase2-qwen2.5-14b-instruct,qwen2.5-14b-instruct,calibration_artifacts/thresholds.parquet,4388,0.004
jbshield-qwen-phase2-qwen2.5-14b-instruct,qwen2.5-14b-instruct,generation_outputs.parquet,52200,0.05
jbshield-qwen-phase2-qwen2.5-14b-instruct,qwen2.5-14b-instruct,hidden_last.safetensors,3713024096,3541.016
