run_id,model_name,vector_a,vector_a_type,vector_a_family,vector_b,vector_b_type,vector_b_family,cosine
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__autodan,jailbreak,autodan,jailbreak__autodan,jailbreak,autodan,1.0
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__autodan,jailbreak,autodan,jailbreak__base64,jailbreak,base64,-0.402238667011261
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__autodan,jailbreak,autodan,jailbreak__drattack,jailbreak,drattack,-0.28789427876472473
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__autodan,jailbreak,autodan,jailbreak__gcg,jailbreak,gcg,-0.8001471161842346
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__autodan,jailbreak,autodan,jailbreak__ijp,jailbreak,ijp,-0.7763857841491699
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__autodan,jailbreak,autodan,jailbreak__pair,jailbreak,pair,0.05004935711622238
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__autodan,jailbreak,autodan,jailbreak__puzzler,jailbreak,puzzler,-0.23731455206871033
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__autodan,jailbreak,autodan,jailbreak__saa,jailbreak,saa,0.004629083443433046
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__autodan,jailbreak,autodan,jailbreak__zulu,jailbreak,zulu,-0.8241040706634521
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__autodan,jailbreak,autodan,toxic,toxic,toxic,-0.6223962306976318
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__base64,jailbreak,base64,jailbreak__base64,jailbreak,base64,1.000000238418579
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__base64,jailbreak,base64,jailbreak__drattack,jailbreak,drattack,0.22557677328586578
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__base64,jailbreak,base64,jailbreak__gcg,jailbreak,gcg,0.3690931797027588
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__base64,jailbreak,base64,jailbreak__ijp,jailbreak,ijp,0.3742319345474243
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__base64,jailbreak,base64,jailbreak__pair,jailbreak,pair,0.09624948352575302
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__base64,jailbreak,base64,jailbreak__puzzler,jailbreak,puzzler,0.25937989354133606
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__base64,jailbreak,base64,jailbreak__saa,jailbreak,saa,-0.02161581628024578
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__base64,jailbreak,base64,jailbreak__zulu,jailbreak,zulu,0.3629337251186371
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__base64,jailbreak,base64,toxic,toxic,toxic,0.23941823840141296
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__drattack,jailbreak,drattack,jailbreak__drattack,jailbreak,drattack,1.0000001192092896
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__drattack,jailbreak,drattack,jailbreak__gcg,jailbreak,gcg,0.26320526003837585
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__drattack,jailbreak,drattack,jailbreak__ijp,jailbreak,ijp,0.4020962417125702
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__drattack,jailbreak,drattack,jailbreak__pair,jailbreak,pair,0.060650214552879333
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__drattack,jailbreak,drattack,jailbreak__puzzler,jailbreak,puzzler,0.26740849018096924
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,jailbreak__drattack,jailbreak,drattack,jailbreak__saa,jailbreak,saa,0.00494030024856329
