summary_scope,model_name,attack_family,num_attack_families,toxic_layer_mean,jailbreak_layer_mean,toxic_depth_mean,jailbreak_depth_mean,jailbreak_depth_std,jailbreak_depth_min,jailbreak_depth_max,num_models
model,qwen2.5-14b,__all__,9.0,0.0,5.333333333333333,0.0,0.1111111111111111,0.3333333333333333,0.0,1.0,
model,qwen2.5-14b-instruct,__all__,9.0,48.0,45.22222222222222,1.0,0.9421296296296298,0.1040508615539701,0.7083333333333334,1.0,
model,qwen2.5-32b,__all__,9.0,0.0,7.111111111111111,0.0,0.1111111111111111,0.3333333333333333,0.0,1.0,
model,qwen2.5-32b-instruct,__all__,9.0,64.0,63.55555555555556,1.0,0.9930555555555556,0.020833333333333336,0.9375,1.0,
model,qwen2.5-7b,__all__,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
model,qwen2.5-7b-instruct,__all__,9.0,28.0,28.0,1.0,1.0,0.0,1.0,1.0,
model,qwen3-8b,__all__,9.0,28.0,31.555555555555557,0.7777777777777778,0.8765432098765431,0.06676946806414794,0.7777777777777778,1.0,
attack_family,__all__,autodan,,,,0.5396825396825397,0.5555555555555556,0.5211573066470477,0.0,1.0,7.0
attack_family,__all__,base64,,,,0.5396825396825397,0.5396825396825397,0.5109040298232089,0.0,1.0,7.0
attack_family,__all__,drattack,,,,0.5396825396825397,0.5555555555555556,0.5211573066470477,0.0,1.0,7.0
attack_family,__all__,gcg,,,,0.5396825396825397,0.5555555555555556,0.5211573066470477,0.0,1.0,7.0
attack_family,__all__,ijp,,,,0.5396825396825397,0.5555555555555556,0.5211573066470477,0.0,1.0,7.0
attack_family,__all__,pair,,,,0.5396825396825397,0.5317460317460317,0.5008810579520527,0.0,1.0,7.0
attack_family,__all__,puzzler,,,,0.5396825396825397,0.5396825396825397,0.5109040298232089,0.0,1.0,7.0
attack_family,__all__,saa,,,,0.5396825396825397,0.8154761904761906,0.37566079346403947,0.0,1.0,7.0
attack_family,__all__,zulu,,,,0.5396825396825397,0.5376984126984127,0.5040004754728867,0.0,1.0,7.0
