run_id,model_name,source,layer,comparison,left_group,right_group,centroid_cosine,centroid_cosine_divergence,left_norm,right_norm,norm_delta
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,label_1_vs_label_0,label_1,label_0,0.4508388042449951,0.5491611957550049,0.5031696557998657,0.8821390271186829,-0.37896937131881714
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,direct_harmful_vs_harmless,direct_harmful,none,0.48542457818984985,0.5145754218101501,0.5442442893981934,0.9037944674491882,-0.3595501780509949
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,attack_vs_direct_harmful,autodan,direct_harmful,0.6912460923194885,0.3087539076805115,0.9359979629516602,0.5442442893981934,0.3917536735534668
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,attack_vs_harmless,autodan,none,0.3589203655719757,0.6410796344280243,0.9359979629516602,0.9037944674491882,0.032203495502471924
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,attack_vs_direct_harmful,base64,direct_harmful,0.2271028310060501,0.7728971689939499,0.8037416934967041,0.5442442893981934,0.25949740409851074
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,attack_vs_harmless,base64,none,0.156989187002182,0.843010812997818,0.8037416934967041,0.9037944674491882,-0.10005277395248413
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,attack_vs_direct_harmful,drattack,direct_harmful,0.13953086733818054,0.8604691326618195,1.6118651628494263,0.5442442893981934,1.067620873451233
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,attack_vs_harmless,drattack,none,0.2766103446483612,0.7233896553516388,1.6118651628494263,0.9037944674491882,0.708070695400238
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,attack_vs_direct_harmful,gcg,direct_harmful,0.22677280008792877,0.7732271999120712,0.12797605991363525,0.5442442893981934,-0.4162682294845581
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,attack_vs_harmless,gcg,none,0.2165498435497284,0.7834501564502716,0.12797605991363525,0.9037944674491882,-0.775818407535553
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,attack_vs_direct_harmful,ijp,direct_harmful,0.7808549404144287,0.2191450595855713,0.731834352016449,0.5442442893981934,0.18759006261825562
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,attack_vs_harmless,ijp,none,0.4950866401195526,0.5049133598804474,0.731834352016449,0.9037944674491882,-0.17196011543273926
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,attack_vs_direct_harmful,pair,direct_harmful,0.6070097088813782,0.3929902911186218,0.9138802886009216,0.5442442893981934,0.36963599920272827
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,attack_vs_harmless,pair,none,0.27559804916381836,0.7244019508361816,0.9138802886009216,0.9037944674491882,0.010085821151733398
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,attack_vs_direct_harmful,puzzler,direct_harmful,0.10883201658725739,0.8911679834127426,1.5648797750473022,0.5442442893981934,1.0206354856491089
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,attack_vs_harmless,puzzler,none,0.20742632448673248,0.7925736755132675,1.5648797750473022,0.9037944674491882,0.661085307598114
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,attack_vs_direct_harmful,saa,direct_harmful,0.022944128140807152,0.9770558718591928,1.3618292808532715,0.5442442893981934,0.8175849914550781
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,attack_vs_harmless,saa,none,0.014510511420667171,0.9854894885793328,1.3618292808532715,0.9037944674491882,0.45803481340408325
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,attack_vs_direct_harmful,zulu,direct_harmful,0.771827757358551,0.22817224264144897,0.5927397608757019,0.5442442893981934,0.048495471477508545
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,0,attack_vs_harmless,zulu,none,0.4841287136077881,0.5158712863922119,0.5927397608757019,0.9037944674491882,-0.31105470657348633
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,1,label_1_vs_label_0,label_1,label_0,0.9240296483039856,0.0759703516960144,15.058040618896484,16.499004364013672,-1.4409637451171875
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,1,direct_harmful_vs_harmless,direct_harmful,none,0.8736861348152161,0.12631386518478394,15.991799354553223,16.58599090576172,-0.5941915512084961
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,1,attack_vs_direct_harmful,autodan,direct_harmful,0.8430200219154358,0.1569799780845642,16.514739990234375,15.991799354553223,0.5229406356811523
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,1,attack_vs_harmless,autodan,none,0.8840091824531555,0.11599081754684448,16.514739990234375,16.58599090576172,-0.07125091552734375
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,1,attack_vs_direct_harmful,base64,direct_harmful,0.7729177474975586,0.2270822525024414,18.69529914855957,15.991799354553223,2.7034997940063477
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,1,attack_vs_harmless,base64,none,0.8180014491081238,0.18199855089187622,18.69529914855957,16.58599090576172,2.1093082427978516
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,1,attack_vs_direct_harmful,drattack,direct_harmful,0.7296894192695618,0.27031058073043823,17.768659591674805,15.991799354553223,1.776860237121582
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,1,attack_vs_harmless,drattack,none,0.7892130017280579,0.21078699827194214,17.768659591674805,16.58599090576172,1.182668685913086
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,1,attack_vs_direct_harmful,gcg,direct_harmful,0.8331234455108643,0.16687655448913574,15.582923889160156,15.991799354553223,-0.4088754653930664
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,1,attack_vs_harmless,gcg,none,0.7282347083091736,0.2717652916908264,15.582923889160156,16.58599090576172,-1.0030670166015625
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,1,attack_vs_direct_harmful,ijp,direct_harmful,0.8895758390426636,0.11042416095733643,15.102343559265137,15.991799354553223,-0.8894557952880859
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,1,attack_vs_harmless,ijp,none,0.9223753809928894,0.0776246190071106,15.102343559265137,16.58599090576172,-1.483647346496582
jbshield-qwen-phase2-qwen2.5-14b,qwen2.5-14b,last_token,1,attack_vs_direct_harmful,pair,direct_harmful,0.8365067839622498,0.16349321603775024,16.3258113861084,15.991799354553223,0.3340120315551758
